"22.10.19";"09:00";"10:00";"Moods LONDON JAZZ CALLING #7";"";"60"
"23.10.19";"20:15";"21:15";"Turnen mit Brigitte";"Klusplatz";"60"
"24.10.19";"17:00";"21:30";"HFI2-9832 IT-Betrieb und Monitoring mit BASH-Scripting";"St. Gallen IFA";"270"
"25.10.19";"13:00";"17:30";"HFWI5-3713 Programmiersprachen und Datenbankabfragen";"Bern IFA";"270"
"26.10.19";"13:00";"16:30";"AKAD 1HFI_ZH1_H19 Inft01";"";"210"
"27.10.19";"08:00";"09:00";"Moods DAVE HOLLAND - ZAKIR HUSSAIN - CHRIS POTTER";"";"60"
"28.10.19";"17:00";"21:30";"HFI2-9832 IT-Betrieb und Monitoring mit BASH-Scripting";"St. Gallen IFA";"270"
"29.10.19";"17:40";"21:40";"AKAD 2HFWI_ZH2_F19 InfT05";"";"240"
"30.10.19";"20:15";"21:15";"Turnen mit Brigitte";"Klusplatz";"60"
"31.10.19";"08:00";"12:30";"HFI2-8833 IT-Betrieb und Monitoring mit BASH-Scripting";"Zürich Altstetten IFA";"270"
"31.10.19";"17:00";"21:30";"HFI2-9832 IT-Betrieb und Monitoring mit BASH-Scripting";"St. Gallen IFA";"270"
"01.11.19";"08:00";"12:30";"HFWI5-3733 Programmiersprachen und Datenbankabfragen";"Bern IFA";"270"
"02.11.19";"09:00";"23:00";"Überjazz Hamburg";"";"2280"
"05.11.19";"17:00";"21:30";"HFI4-8732 Virtualisierung";"Zürich Altstetten IFA";"270"
"06.11.19";"09:00";"12:30";"HFWI5-9713 Programmiersprachen und Datenbankabfragen";"St. Gallen IFA";"210"
"06.11.19";"20:15";"21:15";"Turnen mit Brigitte";"Klusplatz";"60"
"07.11.19";"08:00";"12:30";"HFI2-8833 IT-Betrieb und Monitoring mit BASH-Scripting";"Zürich Altstetten IFA";"270"
"07.11.19";"17:45";"21:30";"HFI2-9832 IT-Betrieb und Monitoring mit BASH-Scripting";"St. Gallen IFA";"225"
"08.11.19";"13:00";"17:30";"HFWI5-3733 Programmiersprachen und Datenbankabfragen";"Bern IFA";"270"
"09.11.19";"18:00";"23:00";"60. Charlotte + Wolfgang";"Bad Zurzach";"300"
"11.11.19";"09:00";"10:00";"Moods MAKAYA MCCRAVEN";"";"60"
"11.11.19";"13:00";"16:30";"INFSYS2-8831 Virtualisierungslösungen konzipieren und realisieren";"Zürich Altstetten IFA";"210"
"12.11.19";"17:00";"21:30";"HFI4-8732 Virtualisierung";"Zürich Altstetten IFA";"270"
"13.11.19";"08:00";"12:30";"HFWI5-9713 Programmiersprachen und Datenbankabfragen";"St. Gallen IFA";"270"
"13.11.19";"20:15";"21:15";"Turnen mit Brigitte";"Klusplatz";"60"
"14.11.19";"08:00";"12:30";"HFI2-8833 IT-Betrieb und Monitoring mit BASH-Scripting";"Zürich Altstetten IFA";"270"
"14.11.19";"17:45";"21:15";"INFSYS2-8832 Virtualisierungslösungen konzipieren und realisieren";"(J. Reinholdt)";"210"
"15.11.19";"09:00";"12:30";"HFWI5-3713 Programmiersprachen und Datenbankabfragen";"Bern IFA";"210"
"18.11.19";"13:00";"16:30";"INFSYS2-8831 Virtualisierungslösungen konzipieren und realisieren";"Zürich Altstetten IFA";"210"
"19.11.19";"17:00";"21:30";"HFI4-8732 Virtualisierung";"Zürich Altstetten IFA";"270"
"20.11.19";"13:00";"17:30";"HFWI5-9713 Programmiersprachen und Datenbankabfragen";"St. Gallen IFA";"270"
"20.11.19";"20:15";"21:15";"Turnen mit Brigitte";"Klusplatz";"60"
"21.11.19";"08:00";"12:30";"HFI2-8833 IT-Betrieb und Monitoring mit BASH-Scripting";"Zürich Altstetten IFA";"270"
"21.11.19";"17:45";"21:15";"INFSYS2-8832 Virtualisierungslösungen konzipieren und realisieren";"(J. Reinholdt)";"210"
"22.11.19";"08:00";"12:30";"HFWI5-3713 Programmiersprachen und Datenbankabfragen";"Bern IFA";"270"
"23.11.19";"13:00";"16:30";"AKAD 1HFI_ZH1_H19 Inft02  ";"";"210"
"25.11.19";"13:00";"16:30";"INFSYS2-8831 Virtualisierungslösungen konzipieren und realisieren";"Zürich Altstetten IFA";"210"
"26.11.19";"17:00";"21:30";"HFI4-8732 Virtualisierung";"Zürich Altstetten IFA";"270"
"27.11.19";"08:00";"12:30";"HFWI5-9713 Programmiersprachen und Datenbankabfragen";"St. Gallen IFA";"270"
"27.11.19";"20:15";"21:15";"Turnen mit Brigitte";"Klusplatz";"60"
"28.11.19";"08:00";"12:30";"HFI4-3733 Virtualisierung";"Bern IFA";"270"
"28.11.19";"17:45";"21:15";"INFSYS2-8832 Virtualisierungslösungen konzipieren und realisieren";"(J. Reinholdt)";"210"
"29.11.19";"08:00";"12:30";"HFWI5-3733 Programmiersprachen und Datenbankabfragen";"Bern IFA";"270"
"29.11.19";"13:00";"17:30";"HFWI5-3713 Programmiersprachen und Datenbankabfragen";"Bern IFA";"270"
"29.11.19";"13:00";"17:30";"HFWI5-3733 Programmiersprachen und Datenbankabfragen";"Bern IFA";"270"
"30.11.19";"13:00";"16:30";"AKAD 1HFI_ZH1_H19 Inft03  ";"";"210"
"03.12.19";"17:40";"21:40";"AKAD 2HFWI_ZH2_F19 InfT06";"";"240"
"04.12.19";"20:15";"21:15";"Turnen mit Brigitte";"Klusplatz";"60"
"05.12.19";"08:00";"12:30";"HFI4-3733 Virtualisierung";"Bern IFA";"270"
"05.12.19";"17:45";"21:15";"INFSYS2-8832 Virtualisierungslösungen konzipieren und realisieren";"(J. Reinholdt)";"210"
"06.12.19";"08:00";"12:30";"HFWI5-3713 Programmiersprachen und Datenbankabfragen";"Bern IFA";"270"
"07.12.19";"09:00";"10:00";"Moods MADELEINE PEYROUX";"";"60"
"07.12.19";"13:00";"16:30";"AKAD 1HFI_ZH1_H19 Inft04  ";"";"210"
"09.12.19";"13:00";"16:30";"INFSYS2-8831 Virtualisierungslösungen konzipieren und realisieren";"Zürich Altstetten IFA";"210"
"10.12.19";"17:00";"18:30";"HFI4-8732 Virtualisierung";"Zürich Altstetten IFA";"90"
"11.12.19";"20:15";"21:15";"Turnen mit Brigitte";"Klusplatz";"60"
"12.12.19";"13:45";"14:30";"HFI4-3733 Virtualisierung";"Bern IFA";"45"
"12.12.19";"17:45";"21:15";"INFSYS2-8832 Virtualisierungslösungen konzipieren und realisieren";"(J. Reinholdt)";"210"
"16.12.19";"13:00";"16:30";"INFSYS2-8831 Virtualisierungslösungen konzipieren und realisieren";"Zürich Altstetten IFA";"210"
"18.12.19";"20:15";"21:15";"Turnen mit Brigitte";"Klusplatz";"60"
"19.12.19";"17:45";"21:15";"INFSYS2-8832 Virtualisierungslösungen konzipieren und realisieren";"(J. Reinholdt)";"210"
